"","score","text","path"
"2",-1,"@taniameer she walked out on AAP because she was against Kejriwal joining politics. So what changed now? Kejriwal is going to rip her up","https://twitter.com/Mohansinha"
"8",-1,"Without any sweat if CM post is offered anybody's face will be beautifulMrs Bedi mustThank Kejriwal because without him BJP would ignore her","https://twitter.com/soumdaram"
"44",-2,"RT @JatinPaul: #Congress claims @BJP4India main opponent in #DelhiElections; but attacks #Kejriwal first. My report - http://t.co/c3YjRA992â¦","https://twitter.com/gops333"
"45",-1,"BJP supporters are hate filled against Arvind Kejriwal, they need 2 b sent to rehabilitation centers to get back to their normal self","https://twitter.com/nagpurisantri"
"47",-1,"RT @ANI_news: I blocked him 15 months ago when he called himself an anarchist: Kiran Bedi on Arvind Kejriwal","https://twitter.com/AdamsTooth"
"54",-1,"Baghban 2 : A movie which shows how Kiran Bedi, Kejriwal, Manish Sishodia ignore Anna Hazare after getting settled,,","https://twitter.com/Nikstrade"
"63",-1,"RT @TimesNow: Kiran Bedi termed Kejriwal's twitter account as ""polluting"" one and says she blocked him as he was ""spreading negativity"".  #â¦","https://twitter.com/riteshpali"
"64",-1,"RT @ANI_news: I blocked him 15 months ago when he called himself an anarchist: Kiran Bedi on Arvind Kejriwal","https://twitter.com/GauravSingal"
"81",-1,"RT @AapCrookAk49: Wonder how can Kejriwal solve Delhi's problem with Arab funding.Whats the interest of Arabs and Muslim Nations in #AAP #Wâ¦","https://twitter.com/RTingSense"
"87",-1,"RT @Satyaake: SHAZIA ILMI on the newshour debate:
1. Arvind Kejriwal is a goon.
2. Amit Shah is a messiah. 
And,
3. Sun revolves around earâ¦","https://twitter.com/mohit2406"
"94",-1,"RT @obscurehamlet: Ajay Maken from Congress, Arvind Kejriwal from AAP agree for an open public debate on Delhi issues. Kiran Bedi from BJP â¦","https://twitter.com/rupeshshukla5"
"98",-1,"RT @ANI_news: I blocked him 15 months ago when he called himself an anarchist: Kiran Bedi on Arvind Kejriwal","https://twitter.com/AnubhaShukla7"
"105",-1,"RT @BDUTT: Flood of feedback to this interview with @ArvindKejriwal -Watch if you missed: ""Delhi, you answer, Am I a Naxal?"" http://t.co/FIâ¦","https://twitter.com/sudheshpn"
"109",-1,"RT @doctoratlarge: Kiran Bedi had criticized Modi, true. But unlike Kejriwal, she hadn't sworn on her children's heads that she won't take â¦","https://twitter.com/prc2310"
"127",-1,"RT @ndtv: Want a two-hour debate on all key issues with Kiran Bedi before Delhi polls, says Arvind Kejriwal","https://twitter.com/csmadhucs"
"149",-1,"RT @TimesNow: Kiran Bedi termed Kejriwal's twitter account as ""polluting"" one and says she blocked him as he was ""spreading negativity"".  #â¦","https://twitter.com/Anjalig46007771"
"152",-2,"Get real .. Bedi has dealt with, suffered and triumphed over the cess pool of corruption that is Delhi. Kejriwal just ran away #FoolMeAgain","https://twitter.com/maximegalon5"
"157",-2,"RT @JatinPaul: #Congress claims @BJP4India main opponent in #DelhiElections; but attacks #Kejriwal first. My report - http://t.co/c3YjRA992â¦","https://twitter.com/sajid_monsoori"
"161",-1,"RT @rajeshmahapatra: #Kejriwalâs party issues same receipts to multiple donors  http://t.co/IjA81Xv8Qv via @htTweets @AamAadmiParty http://â¦","https://twitter.com/PrathmeshShiv"
"167",-1,"@ankitlal ""@rajeshmahapatra: #Kejriwalâs party issues same receipts to multiple donors  http://t.co/rDpv0TMR4i http://t.co/iQCISHSvPa""","https://twitter.com/SimpleCommonMan"
"168",-1,"RT @BDUTT: Flood of feedback to this interview with @ArvindKejriwal -Watch if you missed: ""Delhi, you answer, Am I a Naxal?"" http://t.co/FIâ¦","https://twitter.com/ThakurSanjayK"
"180",-1,"in his college days kejriwal was a terrible alcoholic and drug addict.what sort of a youth icon is he?","https://twitter.com/Simha_Komunduri"
"189",-3,"RT @thekinshu: Kejriwal is puppet of Pak who'd proudly threatened to disrupt Republic Day Parade and insulted martyrs by declaring Batla enâ¦","https://twitter.com/9535801791"
"190",-1,"RT @rajeshmahapatra: #Kejriwalâs party issues same receipts to multiple donors  http://t.co/IjA81Xv8Qv via @htTweets @AamAadmiParty http://â¦","https://twitter.com/yaps9"
"199",-1,"RT @rajeshmahapatra: #Kejriwalâs party issues same receipts to multiple donors  http://t.co/IjA81Xv8Qv via @htTweets @AamAadmiParty http://â¦","https://twitter.com/aapbuster"
"205",-1,"RT @ihimanshu20: Should I ask you why Arvind Kejriwal took the bungalow after denying it?: Shazia ilmi (BJP) to Ashish Khetan (AAP) #UTurnEâ¦","https://twitter.com/isupportBJYM"
"211",-1,"RT @ANI_news: I blocked him 15 months ago when he called himself an anarchist: Kiran Bedi on Arvind Kejriwal","https://twitter.com/pappuBDL"
"222",-2,"RT @JatinPaul: #Congress claims @BJP4India main opponent in #DelhiElections; but attacks #Kejriwal first. My report - http://t.co/c3YjRA992â¦","https://twitter.com/Sumitg129"
"268",-2,"RT @JatinPaul: #Congress claims @BJP4India main opponent in #DelhiElections; but attacks #Kejriwal first. My report - http://t.co/c3YjRA992â¦","https://twitter.com/winniegandhi"
"274",-1,"RT @ndtv: Want a two-hour debate on all key issues with Kiran Bedi before Delhi polls, says Arvind Kejriwal","https://twitter.com/alwynmithra1992"
"275",-1,"RT @Satyaake: SHAZIA ILMI on the newshour debate:
1. Arvind Kejriwal is a goon.
2. Amit Shah is a messiah. 
And,
3. Sun revolves around earâ¦","https://twitter.com/DjTweeted"
"277",-1,"@ShaileshTewarie @ArvindKejriwal Never be Greedy..leaving delhi cm post for PM post?  kejriwal biggest mistake of life.","https://twitter.com/mittal121"
"287",-1,"RT @ANI_news: I blocked him 15 months ago when he called himself an anarchist: Kiran Bedi on Arvind Kejriwal","https://twitter.com/Cyberhindu085"
"302",-1,"RT @TimesNow: Kiran Bedi termed Kejriwal's twitter account as ""polluting"" one and says she blocked him as he was ""spreading negativity"".  #â¦","https://twitter.com/rkaran2b"
"311",-1,"RT @rajeshmahapatra: #Kejriwalâs party issues same receipts to multiple donors  http://t.co/IjA81Xv8Qv via @htTweets @AamAadmiParty http://â¦","https://twitter.com/rajsri2002"
"317",-2,"@TimesNow lol kejriwal has started his drama again, he was blocked since dt anarchist comment, why is he begging now?","https://twitter.com/Dayweekaa"
"320",-1,"RT @ANI_news: I blocked him 15 months ago when he called himself an anarchist: Kiran Bedi on Arvind Kejriwal","https://twitter.com/birajanath"
