"","analysis_score","analysis_text"
"1",0,"Thank god for #kissfm  https://t.co/FakyJLRzIB - Video Tube for YouTube - iPhone/iPad"
"2",-3,"RT @DanBilefsky: A tragic mystery as Argentina prosecutor charged with investigating bombing of Jewish center is found dead. http://t.co/mjâ¦"
"3",0,"Music Center lets you view your music library from the lockscreen or inside any app on your iPhone, iPod or iPad! https://t.co/mtiAoHTpHg"
"4",2,"RT @exploreasyraf: iPhone 5s SPARE GREY 64GB RM1900
Fullset excluding earpod
Condition perfect like new with glass screen (AHT0052) http://â¦"
"5",1,"I got a reward: Linked In in BigBusiness Deluxe for iOS http://t.co/Ta6WmwcQKV #iPhoneGames #GameInsight #iPhone"
"6",1,"If you're an iPhone user, you're probably brainwashed by now, so reading this will not do you any good http://t.co/ASxCyxkaVF"
"7",0,"@nest âÂ can i see if my Thermostat is going into Auto Away mode, from my iPhone or the Web App? How can I tell if it's working?"
"8",0,"Spain Courses 36. Financial Markets (2011) - Yale University http://t.co/D9V6762gEQ #iTunesU #iTunes #iPhone #Apple #Mac"
"9",0,"I have discovered a new territory in The Tribez! http://t.co/QYT7CqBdmt #iphone, #iphonegames, #gameinsight"
"10",0,"United Kingdom 97. If You Wait (Deluxe Version) - London Grammar http://t.co/RZ30t8bEsv #Music #iTunes #iPhone #Apple"
"11",1,"sex clip: Blowjob and facial cumshot compilation  #sex #movie #hot #iPhone http://t.co/hrhr7LxisG"
"12",1,"I got a reward: Carpenter in BigBusiness Deluxe for iOS http://t.co/HBVVjnXRhs #GameInsight #iPhone #iPhoneGames"
"13",0,"19 iPhone Tricks And Tips Apple Doesn't Want You To Know.... http://t.co/yQ49ISID3N"
"14",-1,"@troyesivan that so weird cause I have the same Gif on my iPhone http://t.co/Z8xsN2YdV1"
"15",1,"I'm now a D-List celebrity in Kim Kardashian: Hollywood. You can be famous too by playing on iPhone!  http://t.co/LWpneycDGx"
"16",0,"I finished the ""Expanding Living Space"" task in Big Business Deluxe for iOS! http://t.co/4jYgdhOaOb #iPhone #iPhoneGames #GameInsight"
"17",2,"RT @exploreasyraf: iPhone 5s SPARE GREY 64GB RM1900
Fullset excluding earpod
Condition perfect like new with glass screen (AHT0052) http://â¦"
"18",0,"RT @exploreasyraf: iPhone 5s SPACE GREY 32GB RM1700
Fullset excluding earpod
Condition 9/10 (AHT0051) http://t.co/e396XJ64Cw"
"19",0,"RT @akane_260: Can someone please change this photo to fit an iPhone 5 wallpaper screen http://t.co/49r9geGS6i http://t.co/56P6uOjQRP"
"20",0,"Dearest / SING LIKE TALKING
http://t.co/KWREOPyaSU
 
#iTunes #iPhone #Dearest"
"21",0,"2Face Gets Customised, Gold Plated iPhone 6 For Election http://t.co/tfrW1tvL9C #PreviouslyOnEntadaplace"
"22",0,"#SellUsediPhone at Suitable Prices http://t.co/gC0UYfxuAt http://t.co/yEvGG3uYad"
"23",1,"RT @almarai: Guess the flavors to #win Iphone 6 #Almarai #competition http://t.co/8UtsrEbMYD"
"24",0,"RT @exploreasyraf: iPhone 5s SPACE GREY 64GB RM1850
Fullset excluding earpod 
Condition 9/10 (AHT0049) http://t.co/0JrX0qlWu1"
"25",0,"Spain Paid 35. El Mindfulness App - MindApps http://t.co/mvXLqbt3DD #iTunes #iPhone #Apps #Apple"
"26",0,"RT @exploreasyraf: iPhone 5s SPACE GREY 32GB RM1700
Fullset excluding earpod
Condition 9/10 (AHT0051) http://t.co/e396XJ64Cw"
"27",-2,"RT @Chelsey_Baucom: @puckett_kristin I seriously hate IPhone chargers. They're shit!"
"28",0,"RT @facts_of_today: All the things you say to Siri on the iPhone is analyzed &amp; stored. All information is sent to Apple, and Apple has the â¦"
"29",0,"Angst One / The Toxic Avenger
http://t.co/atkx1mqU5L
 
#iTunes #iPhone #AngstOne"
"30",0,"Excelvan Bluetooth Wrist Smart Watch Sports Bracelet for iPhone Anroidâ¦ http://t.co/lyVMAzoZIm #SmartWatch #Wearable http://t.co/9dzYYb7arT"
"31",-1,"The iPhone 6 is fucking awesome but man is the screen overwhelming when you've come from a 4S"
"32",1,"Spain 37. Rain Over Me (feat. Marc Anthony) - Pitbull http://t.co/Sy1YA0uIWO #Music #Video #iTunes #iPhone #Apple #Mac"
"33",0,"sex clip: Redhead hottie Indigo Augustine is fucking #sex #movie #hot #iPhone http://t.co/0XsfBZrUx3"
"34",-1,"iPhone chargers really ain't shit..."
"35",0,"RT @hacerfotos: Exceptionally Dramatic Urban Landscape Images Captured Using an iPhone http://t.co/hZMOXzGXO7 @ExposureGuide http://t.co/Xfâ¦"
"36",0,"Love Me Or Leave Me / Kerli
http://t.co/vkxuqyPCok
 
#iTunes #iPhone #"
"37",2,"free porn: Toying with some self-lovin' #sex #movie #hot #iPhone http://t.co/Rq6OB5Bfk8"
"38",-2,"@puckett_kristin I seriously hate IPhone chargers. They're shit!"
"39",3,"sex clip: so happy with my cock loving GF #sex #movie #hot #iPhone http://t.co/rLTxU4t909"
"40",1,"sex clip: Some really fucking hot interracial sex here  #sex #movie #hot #iPhone http://t.co/960u8B7oG2"
"41",1,"sex clip: Gloryhole Secrets milf Kitty squirts #sex #movie #hot #iPhone http://t.co/Cglc1wl436"
"42",0,"Spain 85. Heldeep Radio - Oliver Heldens http://t.co/y2Sw0NYBpR #Podcast #iTunes #iPhone #Apple"
"43",0,"RT @MrMaskoolin: Pebble Steel Smartwatch with Leather Watch Band Brushed Stainless http://t.co/TqpkMUqlxt by Pebble IDR 3696K http://t.co/Tâ¦"
"44",0,"I finally updated my iPhone + macbook software. Update my life is next on the list"
"45",1,"sex clip: Rika Hayama In Hot Sultry Threesome #sex #movie #hot #iPhone http://t.co/ZRbg4PZXpd"
