"","score","text","path"
"27",-1,"king crooked long beach califonia","https://twitter.com/Rhicsracine"
"33",-2,"Fuck Seattle and the PNW. Can't wait for Califonia's fault line to ruin your way of life.","https://twitter.com/JBlock49"
"35",-1,"I am the son and the heir, of a shyness that is criminally vulgar","https://twitter.com/califonia_daze"
"38",-1,"My friends are making me play alien isolation and im terrified :'(","https://twitter.com/califonia_daze"
"61",-1,"i hate the beach but i stand in Califonia","https://twitter.com/galmluana"
"66",-1,"I'll bleed just a little bit too, I'll bleed just like you","https://twitter.com/califonia_daze"
"67",-1,"X factor ends and the voice starts
When do the crap tv shows end","https://twitter.com/califonia_daze"
"75",-1,"getting my money when i do im packing up and moving to La Califonia im kinna scared caus e i never  been there but doesnt matter","https://twitter.com/Nicholeallen232"
"79",-1,"when ur passport is expired and u need to get a new photo @ San Francisco, Califonia http://t.co/9HVhHknVzl","https://twitter.com/anuraagkumar"
"82",-1,"Just a diamond in the rough, Enjoying this Califonia Sunshine- ""G""","https://twitter.com/GSjr777"
"83",-1,"@califonia_daze unsure tbh, it'll be so rowdy","https://twitter.com/Paigegh_"
"84",-1,"@Paigegh_ I really hope someone does the lost on me dance XD","https://twitter.com/califonia_daze"
"88",-1,"Watching palm trees you might lose yo life califonia..
World wide is the plan, from california","https://twitter.com/Doubllcupshawty"
"98",-1,"@History_Pics  future  Califonia high speed rail","https://twitter.com/EfinG94"
"99",-2,"@2chainz ""smoking Califonia weed with California whores"" TRUUUEEE!!! í ½í¸í ½í¸í ½í¸ #PotToBlame í ¼í½í ¼í½í ¼í½","https://twitter.com/AmranGeelo"
"101",-1,"Califonia is ruined for me","https://twitter.com/MartiniGabe"
"114",-1,"I vote califonia most confusing place to shop for food","https://twitter.com/Hype"
"133",-2,"Nothing will ever be funnier than @NancyGraceHLN saying ""Smokin california weed with Califonia whores."" NOTHING","https://twitter.com/AaronJBach"
"134",-1,"smokin california weed with califonia hoes","https://twitter.com/TheSteveLoftus"
"137",-1,"Smokin California weed, wit Califonia hoes...","https://twitter.com/random_weighs"
"139",-1,"@califonia_daze life's a bitch","https://twitter.com/PunkRockAlt"
"142",-1,"smokin California weed with ""califonia"" hoes. 

truuuuuuuuuu","https://twitter.com/thekatzebrosky"
"157",-1,"@lexiej225 u r too cute to be painting :) house sales going slowly mighy be overpriced off to new jersey next week and califonia in feb :)","https://twitter.com/daveo33"
"164",-2,"Smoking California weed with Califonia whores","https://twitter.com/GrungeBoyy"
"165",-1,"""Califonia whores""","https://twitter.com/_neaux_"
"166",-1,"""Califonia whores""","https://twitter.com/TMarkusTucker"
"170",-1,"@PunkRockAlt I'll always need my rugby playing punk friend","https://twitter.com/califonia_daze"
"172",-1,"Califonia trick they states shahs","https://twitter.com/christprophet"
"222",-1,"Peace in 10 daze!! http://t.co/gtpS8UdFsJ","https://twitter.com/califonia_daze"
