"","score","text","path"
"23",1,"You need an Oscar award for your wonderful act. Even Rajinikanth will lose to you.","https://twitter.com/yxges_"
"68",1,"RT @geejeyz: #Rangdebasanti - One of the finest film to be preserved by Indian cinema industry. #AamirKhan.
- #Rajinikanth fan http://t.co/â¦","https://twitter.com/yuviFARTTER"
"174",1,"Superstar #Rajinikanth would have deserved #PadmaVibhushan award","https://twitter.com/theeejay"
"180",1,"RT @ILuvCinemaTamil: #Rajinikanth to be awarded #PadmaVibhushan on #Jan 26th

Click Here âºâºhttp://t.co/jPFQCEEuTT http://t.co/GVLczcP3nB","https://twitter.com/arvinjames007"
"188",1,"My followers are happy now...,
Why not ..??
After all ,
Rajinikanth is following them..â","https://twitter.com/21century_kant"
"189",1,"RT @1eewhittaker: Look closely, yes we're dragn the basket 100m crashn thru tree tops!  stunt performers had fun  #Lingaa #Rajinikanth httpâ¦","https://twitter.com/RajiniFC"
"194",1,"Look closely, yes we're dragn the basket 100m crashn thru tree tops!  stunt performers had fun  #Lingaa #Rajinikanth http://t.co/9x6h58o7yN","https://twitter.com/1eewhittaker"
"206",1,"Whoa! See this #Archer. #Reallife #Rambo #Rajinikanth. A modern day #arjuna http://t.co/z3IeFcs8Vh","https://twitter.com/prashantodas"
"239",1,"#Rangdebasanti - One of the finest film to be preserved by Indian cinema industry. #AamirKhan.
- #Rajinikanth fan http://t.co/4TPps9nkzS","https://twitter.com/geejeyz"
"259",1,"RT @RubiSatha: #Oldschool #Rajinikanth movies will always be the best sentimental classics... #Thalapathi #whatimwatchinnow #tamiltv #screwâ¦","https://twitter.com/Sujakshan"
"263",1,"#Oldschool #Rajinikanth movies will always be the best sentimental classics... #Thalapathi #whatimwatchinnow #tamiltv #screwthetamilserials","https://twitter.com/RubiSatha"
"286",1,"Let alone the fact that it has not been a great decade so far for the Superstar of Indian cinema, Rajinikanth. In... http://t.co/smQw87dkqH","https://twitter.com/MovifiedTamil"
"364",1,"Rajinikanth is hilarious to watch","https://twitter.com/_ATeaCup"
"373",3,"@SrBachchan You do sir! Even without award you are the best! btw. whats with award confirmation for #Rajinikanth ?","https://twitter.com/vasanththeone"
"377",1,"RT @Madrassan: Superstar Rajinikanth @superstarrajini to be awarded Padma Vibhushan. #Thalaiva #PadmaAwards","https://twitter.com/sankarbe"
"385",2,"RT @geejeyz: Best wishes for #KaakiSattai success @Siva_Kartikeyan. @anirudhofficial  provd 1ce agn in ur combo, stick to ""Im so cool"" - #Râ¦","https://twitter.com/SuryaPriyaT"
"386",2,"Best wishes for #KaakiSattai success @Siva_Kartikeyan. @anirudhofficial  provd 1ce agn in ur combo, stick to ""Im so cool"" - #Rajinikanth fan","https://twitter.com/geejeyz"
"397",1,"RT @Heytamilcinema: Official - #Superstar #Rajinikanth has not been awarded Padma Vibushan Award this year , everything which went around hâ¦","https://twitter.com/2013Vijaya"
"400",1,"RT @Heytamilcinema: Official - #Superstar #Rajinikanth has not been awarded Padma Vibushan Award this year , everything which went around hâ¦","https://twitter.com/ALANKGF"
"450",1,"#Rajinikanth not getting Padma Vibhushan award.
- @RajiniFC :(","https://twitter.com/geejeyz"
"454",1,"Official - Superstar Rajinikanth has not been awarded Padma Vibushan Award this year , everything which went... http://t.co/h6VfryY55P","https://twitter.com/kccmagazine"
"458",1,"RT @Heytamilcinema: Official - #Superstar #Rajinikanth has not been awarded Padma Vibushan Award this year , everything which went around hâ¦","https://twitter.com/Im_Aaru"
"459",1,"Official - #Superstar #Rajinikanth has not been awarded Padma Vibushan Award this year , everything which went around his name was a rumour.","https://twitter.com/Heytamilcinema"
"460",1,"Official - #Superstar #Rajinikanth has not been awarded Padma Vibushan Award this year , everything which went around his name was a rumour.","https://twitter.com/Ck_Mohammed"
"479",1,"Padma award for Amitabh Bachchan and Rajinikanth http://t.co/ZdD992VCLh http://t.co/0A2gvLZaxc","https://twitter.com/TKReporter"
"482",1,"Padma award for #AmitabhBachchan and #Rajinikanth http://t.co/SvRUxQkj44 @SrBachchan @superstarrajini http://t.co/ya8OwkPcKl","https://twitter.com/kalakkalcinema"
"485",1,"#Thalaivar Rajinikanth has won #PADMABUSHAN in 2000
And Still Date Have not used it for his Fame or Publicity.... http://t.co/SKhwqgxJS9","https://twitter.com/Keralarajinifan"
"486",1,"This must rank among the best of #Rajinikanth mass scenes http://t.co/dJx0dmc4lo #malaida","https://twitter.com/flawsaphor"
"499",1,"The stunning heroes of Kollywood :) #Vijay #Rajinikanth #Vikram #Kamalhaasan http://t.co/hEXnLkGMA6","https://twitter.com/revanthsj"
"588",1,"RT @rgvenkateshgnfi: This mood reminds of happy friendship day #KamalHaasan Ji #Rajinikanth @superstarrajini Ji &amp; @SrBachchan Ji http://t.câ¦","https://twitter.com/anandkrishna021"
"592",2,"#PadmaAwards award gets the honor of RajiniKanth. #PadmaVibhushanRajinikanth","https://twitter.com/iamvinothbabu"
"648",1,"JUST IN:Unconfirmed sources have reported that The Beast was gifted to #BarackObama by #Rajinikanth on his maiden US visit. #MakeInIndia","https://twitter.com/D_Pa_Yan"
"655",1,"Linga's one of my top Rajinikanth movies,  and I've been watching his movies since my earliest memories.  FIGHT ME!!","https://twitter.com/GXWXN"
"663",1,"#Superstar #Rajinikanth to be awarded #PadmaVibhushan. @RajiniFC @rajini_fanclub http://t.co/92xdL2UwHm http://t.co/wh1xYEsqUx","https://twitter.com/vuinmedia"
"719",1,"RT @rajinifans: Director #Shankar shares his days with #Rajinikanth's and his talents during Endhiran shooting http://t.co/ASyjS4xq9A","https://twitter.com/GANESHGMG"
